Date,Open,High,Low,Close,Volume
2011-11-07,11.9826,11.9846,11.869,11.9768,321417857
2011-11-08,12.0524,12.2242,12.0328,12.1711,476337743
2011-11-09,11.8964,12.0131,11.813,11.8432,664620929
2011-11-10,11.8993,11.9023,11.4501,11.543,887377696
2011-11-11,11.5895,11.6472,11.3946,11.5246,778701629
2011-11-14,11.5089,11.544,11.3321,11.3648,515818068
2011-11-15,11.4106,11.6706,11.3696,11.6512,513164650
2011-11-16,11.6697,11.7206,11.5159,11.5293,415351117
2011-11-17,11.5039,11.5237,11.2497,11.3084,571797256
2011-11-18,11.3539,11.3859,11.232,11.234,443238178
2011-11-21,11.0935,11.137,10.9651,11.0567,533432962
2011-11-22,11.1243,11.3242,11.1144,11.2813,487326105
2011-11-23,11.2262,11.2606,10.9937,10.9967,510263222
2011-11-25,11.0328,11.1213,10.8866,10.8944,303659139
2011-11-28,11.1566,11.287,11.0965,11.2695,412623767
2011-11-29,11.2537,11.352,11.0926,11.1821,447723800
2011-11-30,11.4156,11.454,11.3351,11.4521,483343410
2011-12-01,11.4586,11.657,11.4086,11.6235,457124500
2011-12-02,11.6923,11.7935,11.6442,11.6765,451624311
2011-12-05,11.7885,11.877,11.6973,11.7748,425620261
2011-12-06,11.7619,11.8236,11.6679,11.7139,337781107
2011-12-07,11.6765,11.7139,11.5895,11.6589,363069695
2011-12-08,11.7305,11.85,11.6923,11.7061,448105957
2011-12-09,11.7668,11.8062,11.7168,11.7935,353690421
2011-12-12,11.7355,11.8022,11.6697,11.7404,356506999
2011-12-13,11.7708,11.8462,11.599,11.6512,403483721
2011-12-14,11.5876,11.6067,11.3162,11.3927,483920742
2011-12-15,11.4852,11.4979,11.3361,11.3549,305346737
2011-12-16,11.3986,11.5099,11.3735,11.4156,502006198
2011-12-19,11.4594,11.5322,11.4016,11.4521,279493658
2011-12-20,11.6097,11.868,11.6038,11.864,401323079
2011-12-21,11.881,11.9052,11.7452,11.878,312201974
2011-12-22,11.8964,11.9593,11.868,11.9425,240558963
2011-12-23,11.9759,12.0917,11.9701,12.0838,321039037
2011-12-27,12.0788,12.2584,12.0749,12.18,315800139
2011-12-28,12.1917,12.233,12.0258,12.0651,272291751
2011-12-29,12.0818,12.1535,12.0003,12.1376,256399968
2011-12-30,12.0888,12.1721,12.0888,12.1336,214281874
2012-01-03,12.2809,12.3594,12.2554,12.3222,360175360
2012-01-04,12.2878,12.4244,12.2633,12.3879,310072452
2012-01-05,12.432,12.5412,12.3642,12.5263,322994991
2012-01-06,12.5783,12.6684,12.5614,12.658,379416941
2012-01-09,12.748,12.8156,12.6262,12.638,469418038
2012-01-10,12.7599,12.7619,12.6301,12.6834,307754272
2012-01-11,12.6656,12.6704,12.5644,12.6627,256403765
2012-01-12,12.654,12.6724,12.547,12.6271,253400886
2012-01-13,12.5763,12.598,12.544,12.5793,269453268
2012-01-17,12.7097,12.7619,12.6744,12.7227,289400757
2012-01-18,12.7913,12.8689,12.7716,12.8569,329579207
2012-01-19,12.8892,12.9246,12.7784,12.8156,311681055
2012-01-20,12.8081,12.809,12.5773,12.5941,492865926
2012-01-23,12.6646,12.8374,12.655,12.8061,364392770
2012-01-24,12.7362,12.7362,12.5714,12.597,647781066
2012-01-25,13.6156,13.6166,13.2956,13.3829,1141939591
2012-01-26,13.4368,13.4467,13.2778,13.3232,386195481
2012-01-27,13.3114,13.4387,13.2976,13.4017,357242200
2012-01-30,13.3563,13.6008,13.3456,13.5722,451635203
2012-01-31,13.6565,13.7302,13.5742,13.6782,467094765
2012-02-01,13.736,13.7529,13.6498,13.6694,321288587
2012-02-02,13.6605,13.6989,13.6028,13.637,222543308
2012-02-03,13.7019,13.7825,13.6508,13.7726,341751341
2012-02-06,13.7341,13.9327,13.7292,13.9019,297480921
2012-02-07,13.9413,14.0748,13.9207,14.0471,376515196
2012-02-08,14.0961,14.2857,14.0728,14.2827,485642306
2012-02-09,14.4033,14.8853,14.3973,14.7764,1052698860
